stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1691,1,"Boulevard 9","Boulevard 9 (L28)",43.3224159149,-1.98312959373,40,,0,
1692,10,"Harizti Gaina Kalea, Frente Nº 10,loyola (Donostia)","Loiola 12",43.3086653101,-1.96691910177,40,,0,
1693,100,Franziskotarrak,Frantziskotarrak,43.3174497844,-1.97473536513,40,,0,
1694,101,"Mandasko Dukea 3/Duque De Mandas 3","Duque De Mandas 3",43.3200048602,-1.974081912,40,,0,
1695,102,"Boulevard 3","Boulevard 3 (L13)",43.3226845697,-1.98240485245,40,,0,
1696,103,"Askatasunaren Etorb.19/Avda. De La Libertad 19","Askata.21/Liber 21(L37 )",43.3195044361,-1.98201800234,40,,0,
1697,104,Miracruz,"Pinudi/Pinares 16 (L13,27,37)",43.3219161842,-1.97487537983,40,,0,
1698,105,"Euskal Herria/Vasconia","Pzavasconi(L13,14,27,29,33,37)",43.3222599224,-1.97176889406,40,,0,
1699,106,"Jai Alai",,43.3219895179,-1.96659046088,40,,0,
1700,107,Erlojua/Reloj,,43.3216614703,-1.96003132636,40,,0,
1701,108,"Elosegi Alkatea,52 Aurrean (Donostia)","Intxaurrondo Zaharra",43.3213366764,-1.95324804807,40,,0,
1702,109,"Intxaurrondo-Elosegi Gurutzea (Donostia)","Mirakruz Gaina/A. De Miracruz",43.3212013342,-1.94994123594,40,,0,
1703,11,"Liborio Enea","Hipika 12",43.3067367206,-1.96613757501,40,,0,
1704,110,"Jose De Elosegi 111, (Donostia)","Elosegi 111",43.3204907918,-1.94339743579,40,,0,
1705,111,Herrera,"Herrera E.127 (L13,27,38)",43.3196495697,-1.93924627811,40,,0,
1706,112,Renfe,"Renfe Herrera 20",43.3197207339,-1.93581056799,40,,0,
1707,113,Pikabea,"Pikabea H.42",43.3200164115,-1.93349381782,40,,0,
1708,114,"Erroteta Bekoa","Erroteta Behekoa",43.3185098297,-1.93143482573,40,,0,
1709,115,"Santa Barbara","Sta. Barbara",43.3175335727,-1.93029906235,40,,0,
1710,116,Nerecan,,43.3167251036,-1.93444700466,40,,0,
1711,117,"San Martzial",,43.3144965658,-1.93384724417,40,,0,
1712,118,Martilun,Martillun,43.3130393604,-1.93588352814,40,,0,
1713,119,"Larratxo 46, Bianka","Larratxo 46",43.3135658126,-1.93785164071,40,,0,
1714,12,"Loiolako Geralekua,antzieta Ps,11(Donostia)","Renfe Loiola",43.3046829642,-1.96358075863,40,,0,
1715,120,"Larratxo I",,43.3122064256,-1.93928756072,40,,0,
1716,121,Bianka,,43.3134398574,-1.93777063682,40,,0,
1717,122,Martilun,"Martillun L.33",43.3130410072,-1.93577079986,40,,0,
1718,123,"San Martzial Eliza","San Martzial T.44",43.3144778476,-1.93374000302,40,,0,
1719,124,"Larratxo 94 Nerecan","Larratxo 94 Nerec(L13, 24, 38)",43.3165466839,-1.93390181622,40,,0,
1720,125,"Arri Berri","Arri Berri (L13,24,38)",43.317698789,-1.9297456469,40,,0,
1721,126,"Arria Parkea",,43.3185719836,-1.93105932182,40,,0,
1722,127,Pikabea,"Pikabea H.41",43.3191747782,-1.93425620253,40,,0,
1723,128,Renfe,"Renfe Herrera 7",43.3193782165,-1.93686216671,40,,0,
1724,129,Herrera,"Herrera (L13,24,38)",43.3197859334,-1.93808331019,40,,0,
1725,13,Antxieta,Antzieta,43.3036994951,-1.96071394714,40,,0,
1726,130,Gaiztarro-Bidebieta,"Gaiztarro (L13,24,38)",43.3206545823,-1.94318798184,40,,0,
1727,131,"Alto Miracruz","Alto Miracruz (L13,14,24)",43.3214306188,-1.95015070507,40,,0,
